,Unnamed: 0,Date,Team,Notes,Player,dateTime,Year,Tokenized Notes,Body,Injury,Severity,Player_Identifier
2,2,2010-10-06,Pistons,broken fifth metatarsal in right foot (out indefinitely),Terrico White,2010-10-06,2010,"['broken', 'fifth', 'metatarsal', 'in', 'right', 'foot', '(', 'out', 'indefinitely', ')']","['fifth', 'metatarsal', 'right', 'foot']",['broken'],['indefinitely'],
6,6,2010-10-08,Pistons,surgery on right foot to repair broken fifth metatarsal,Terrico White,2010-10-08,2010,"['surgery', 'on', 'right', 'foot', 'to', 'repair', 'broken', 'fifth', 'metatarsal']","['right', 'foot', 'fifth', 'metatarsal']","['surgery', 'broken']",[],
8,8,2010-10-12,Bucks,surgery on left hip (out for season),Darington Hobson,2010-10-12,2010,"['surgery', 'on', 'left', 'hip', '(', 'out', 'for', 'season', ')']","['left', 'hip']",['surgery'],['season'],
29,30,2010-11-03,Nuggets,strained left groin (DNP),Nene Hilario ,2010-11-03,2010,"['strained', 'left', 'groin', '(', 'dnp', ')']","['left', 'groin']",['strained'],['dnp'],
37,38,2010-11-05,Nuggets,strained left groin (DNP),Nene Hilario ,2010-11-05,2010,"['strained', 'left', 'groin', '(', 'dnp', ')']","['left', 'groin']",['strained'],['dnp'],
38,39,2010-11-06,Blazers,back injury (DNP),Rudy Fernandez,2010-11-06,2010,"['back', 'injury', '(', 'dnp', ')']",['back'],['injury'],['dnp'],
39,40,2010-11-06,Nuggets,strained left groin (DNP),Nene Hilario ,2010-11-06,2010,"['strained', 'left', 'groin', '(', 'dnp', ')']","['left', 'groin']",['strained'],['dnp'],
43,44,2010-11-08,Magic,DNP,Mickael Pietrus,2010-11-08,2010,['dnp'],[],[],['dnp'],
61,62,2010-11-14,Timberwolves,sprained left ankle (DNP),Nikola Pekovic,2010-11-14,2010,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
65,66,2010-11-15,Timberwolves,left foot injury (DNP),Nikola Pekovic,2010-11-15,2010,"['left', 'foot', 'injury', '(', 'dnp', ')']","['left', 'foot']",['injury'],['dnp'],
74,75,2010-11-19,Blazers,mircofracture surgery on left knee (out for season),Greg Oden,2010-11-19,2010,"['mircofracture', 'surgery', 'on', 'left', 'knee', '(', 'out', 'for', 'season', ')']","['left', 'knee']",['surgery'],['season'],odengr01
82,83,2010-11-21,Wizards,sprained left foot (DNP),John Wall ,2010-11-21,2010,"['sprained', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sprained'],['dnp'],
83,84,2010-11-22,Hornets,DNP,Marcus Thornton ,2010-11-22,2010,['dnp'],[],[],['dnp'],
98,100,2010-11-27,Wizards,bruised right knee (P) / sore left knee (CBC) (DNP),John Wall ,2010-11-27,2010,"['bruised', 'right', 'knee', '(', 'p', ')', '/', 'sore', 'left', 'knee', '(', 'cbc', ')', '(', 'dnp', ')']","['right', 'knee', 'left', 'knee']","['bruised', 'sore']",['dnp'],
99,101,2010-11-28,Blazers,sprained right ankle (DNP),Sean Marks,2010-11-28,2010,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
103,105,2010-11-28,Raptors,swollen left knee (DNP),Peja Stojakovic,2010-11-28,2010,"['swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
108,110,2010-11-29,Wizards,bruised right knee (P) (DNP),John Wall ,2010-11-29,2010,"['bruised', 'right', 'knee', '(', 'p', ')', '(', 'dnp', ')']","['right', 'knee']",['bruised'],['dnp'],
111,114,2010-12-01,Raptors,swollen left knee (DNP),Peja Stojakovic,2010-12-01,2010,"['swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
116,119,2010-12-03,Raptors,swollen left knee (DNP),Peja Stojakovic,2010-12-03,2010,"['swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
124,127,2010-12-05,Raptors,sore/swollen left knee (DNP),Peja Stojakovic,2010-12-05,2010,"['sore/swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
131,135,2010-12-08,Raptors,swollen left knee (DNP),Peja Stojakovic,2010-12-08,2010,"['swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
132,136,2010-12-08,Timberwolves,bruised right quadriceps (DNP),Darko Milicic,2010-12-08,2010,"['bruised', 'right', 'quadriceps', '(', 'dnp', ')']","['right', 'quadriceps']",['bruised'],['dnp'],
133,137,2010-12-08,Wizards,sore left foot (DNP),John Wall ,2010-12-08,2010,"['sore', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sore'],['dnp'],
138,142,2010-12-10,Raptors,sore left foot (DTD),Jose Calderon,2010-12-10,2010,"['sore', 'left', 'foot', '(', 'dtd', ')']","['left', 'foot']",['sore'],['dtd'],
139,143,2010-12-10,Thunder,back injury (DTD),Nenad Krstic,2010-12-10,2010,"['back', 'injury', '(', 'dtd', ')']",['back'],['injury'],['dtd'],
145,151,2010-12-11,Raptors,swollen left knee (DNP),Peja Stojakovic,2010-12-11,2010,"['swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
150,156,2010-12-14,Magic,sprained left knee (DNP),Mickael Pietrus,2010-12-14,2010,"['sprained', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",['sprained'],['dnp'],
153,159,2010-12-14,Raptors,swollen left knee (DNP),Peja Stojakovic,2010-12-14,2010,"['swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
158,164,2010-12-15,Raptors,swollen left knee (DNP),Peja Stojakovic,2010-12-15,2010,"['swollen', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",[],['dnp'],
159,165,2010-12-15,Wizards,sprained right knee (out indefinitely),Jianlian Yi,2010-12-15,2010,"['sprained', 'right', 'knee', '(', 'out', 'indefinitely', ')']","['right', 'knee']",['sprained'],['indefinitely'],
167,173,2010-12-16,Wizards,right knee tendinitis (DNP),John Wallace,2010-12-16,2010,"['right', 'knee', 'tendinitis', '(', 'dnp', ')']","['right', 'knee']",['tendinitis'],['dnp'],
214,220,2010-12-28,Raptors,sore ankle (DNP),Jose Calderon,2010-12-28,2010,"['sore', 'ankle', '(', 'dnp', ')']",['ankle'],['sore'],['dnp'],
220,226,2010-12-29,Nuggets,sore hamstring (DNP),Nene Hilario ,2010-12-29,2010,"['sore', 'hamstring', '(', 'dnp', ')']",['hamstring'],['sore'],['dnp'],
226,232,2010-12-31,Cavaliers,fractured cheekbone (out indefinitely),Anderson Varejao,2010-12-31,2010,"['fractured', 'cheekbone', '(', 'out', 'indefinitely', ')']",[],['fractured'],['indefinitely'],
258,265,2011-01-06,Suns,torn ACL and partially torn MCL in right knee (out for season),Gani Lawal,2011-01-06,2011,"['torn', 'acl', 'and', 'partially', 'torn', 'mcl', 'in', 'right', 'knee', '(', 'out', 'for', 'season', ')']","['acl', 'right', 'knee']","['torn', 'partially', 'torn']",['season'],
261,268,2011-01-07,Cavaliers,torn tendon in right ankle (out for season),Anderson Varejao,2011-01-07,2011,"['torn', 'tendon', 'in', 'right', 'ankle', '(', 'out', 'for', 'season', ')']","['tendon', 'right', 'ankle']",['torn'],['season'],
275,282,2011-01-11,Cavaliers,torn tendon in right ankle (DNP),Anderson Varejao,2011-01-11,2011,"['torn', 'tendon', 'in', 'right', 'ankle', '(', 'dnp', ')']","['tendon', 'right', 'ankle']",['torn'],['dnp'],
349,356,2011-01-24,Raptors,flu-like symptoms / ankle injury (CBC) (DNP),Jose Calderon,2011-01-24,2011,"['flu-like', 'symptoms', '/', 'ankle', 'injury', '(', 'cbc', ')', '(', 'dnp', ')']",['ankle'],['injury'],['dnp'],
366,373,2011-01-29,Wizards,right leg injury (DTD),Mustafa Shakur,2011-01-29,2011,"['right', 'leg', 'injury', '(', 'dtd', ')']","['right', 'leg']",['injury'],['dtd'],shakumu01
371,378,2011-01-30,Suns,surgery on right knee to repair torn ACL and partially torn MCL (out for season),Gani Lawal,2011-01-30,2011,"['surgery', 'on', 'right', 'knee', 'to', 'repair', 'torn', 'acl', 'and', 'partially', 'torn', 'mcl', '(', 'out', 'for', 'season', ')']","['right', 'knee', 'acl']","['surgery', 'torn', 'partially', 'torn']",['season'],
380,387,2011-02-02,Bucks,illness (DNP),Larry Sanders ,2011-02-02,2011,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
415,423,2011-02-08,Raptors,sore left foot (DNP),Alex Ajinca,2011-02-08,2011,"['sore', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sore'],['dnp'],
416,424,2011-02-08,Timberwolves,strained left hip flexor (DNP),Darko Milicic,2011-02-08,2011,"['strained', 'left', 'hip', 'flexor', '(', 'dnp', ')']","['left', 'hip', 'flexor']",['strained'],['dnp'],
