Year,Body,Injury,Severity,Position,Height (in cm),Wingspan (in cm),Standing Reach (in cm),Weight (in lb),Body Fat (%),Age,EndSeasonYear,Minutes,USG%,Games_Played,Fouls,Turnovers,Points,FT,3P,Steals,Assists,Offensive_Reb,Defensive_Reb
2012,knee,sore,dnp,C-F,208.3,223.5,280.7,252.0,5.3%,29,2012,31.76388888888889,15.8,72.0,3.1944444444444446,1.6527777777777777,10.347222222222221,2.0138888888888893,0.0,0.5555555555555556,0.5833333333333334,3.1944444444444446,6.3055555555555545
2012,knee,torn,indefinitely,F-G,200.7,218.4,268.0,210.0,6.0%,32,2013,23.046511627906977,20.7,43.0,2.1162790697674416,1.2325581395348837,8.651162790697674,1.744186046511628,0.20930232558139536,0.7441860465116279,1.162790697674419,0.9069767441860463,2.7674418604651163
2019,ankle,sprained,dtd,G,190.5,203.2,250.2,190.0,4.6%,30,2019,19.25,25.6,16.0,0.875,1.75,9.8125,2.1875,0.375,0.1875,1.625,0.625,1.1875
2014,back,injury,dnp,F-C,210.8,,,240.0,,37,2014,29.735294117647058,24.5,68.0,2.264705882352941,1.6176470588235294,14.764705882352946,2.323529411764706,0.029411764705882363,1.1470588235294117,2.338235294117647,1.1029411764705883,6.6911764705882355
2017,back,sore,dtd,F-C,213.4,221.0,281.9,240.0,6.3%,24,2018,18.946666666666665,19.7,75.0,1.96,0.92,8.146666666666668,1.346666666666667,0.0,0.7066666666666667,1.0666666666666669,1.1333333333333333,3.3866666666666667
2015,back,spasms,dtd,F,205.7,216.5,268.0,260.0,10.7%,23,2016,27.0,23.6,58.0,2.6379310344827585,1.3448275862068966,13.275862068965518,1.6551724137931034,0.8965517241379308,0.7586206896551724,2.310344827586208,2.534482758620689,5.068965517241379
2016,knee,sore,dtd,G-F,193.0,205.7,259.1,213.0,6.7%,34,2016,26.158730158730158,16.6,63.0,2.6349206349206344,1.3650793650793651,8.555555555555555,1.2539682539682542,0.15873015873015872,2.0476190476190474,1.3650793650793651,1.6349206349206349,2.8095238095238093
2013,knee,sore,dnp,F,200.7,212.1,262.9,228.0,,33,2014,24.08974358974359,20.2,78.0,1.7820512820512822,0.9230769230769232,10.423076923076923,0.9615384615384616,1.641025641025641,0.6538461538461539,1.0,0.5256410256410257,2.333333333333333
2020,groin,injury,dtd,G,195.6,,,190.0,,21,2020,21.023255813953487,16.6,43.0,2.4186046511627906,1.3023255813953492,5.72093023255814,0.5348837209302325,0.7674418604651163,0.6976744186046512,2.8139534883720936,0.2790697674418605,1.744186046511628
2013,ankle,sprained,dnp,G,195.6,210.2,262.9,220.0,10.1%,24,2014,38.269230769230774,29.0,78.0,2.2820512820512806,3.782051282051282,25.93589743589743,8.64102564102564,2.2948717948717947,1.8205128205128205,5.833333333333332,0.7948717948717948,4.064102564102564
2012,wrist,torn,dnp,F,205.7,214.6,275.6,220.0,6.7%,26,2012,39.12195121951221,20.9,82.0,1.9756097560975607,1.9024390243902445,17.4390243902439,3.0853658536585367,1.4024390243902438,0.9512195121951221,2.8048780487804885,1.4146341463414631,4.390243902439025
