Player Full Name,Birth Date,Year Start,Year End,Position,Height (ft 1/2),Height (inches 2/2),Height (in cm),Wingspan (in cm),Standing Reach (in cm),Hand Length (in inches),Hand Width (in inches),Weight (in lb),Body Fat (%),College
A.C. Green,10/4/63,1986,2001,F-C,6,9,205.7,,,,,220,,Oregon State University
A.J. Bramlett,1/10/77,2000,2000,C,6,10,208.3,,,,,227,,University of Arizona
A.J. English,7/11/67,1991,1992,G,6,3,190.5,,,,,175,,Virginia Union University
A.J. Guyton,2/12/78,2001,2003,G,6,1,185.4,192.4,247.7,,,180,,Indiana University
A.J. Hammons,8/27/92,2017,2017,C,7,0,213.4,,,,,260,,Purdue University
A.J. Price,10/7/86,2010,2015,G,6,2,188.0,192.4,246.4,,,181,12.4%,University of Connecticut
A.J. Wynder,9/11/64,1991,1991,G,6,2,188.0,,,,,180,,Fairfield University
A.W. Holt,8/26/46,1971,1971,F,6,7,200.7,,,,,210,,Jackson State University
Aaron Brooks,1/14/85,2008,2018,G,6,0,182.9,193.0,238.8,,,161,2.7%,University of Oregon
Aaron Gordon,9/16/95,2015,2018,F,6,9,205.7,212.7,266.7,8.75,10.5,220,5.1%,University of Arizona
Aaron Gray,12/7/84,2008,2014,C,7,0,213.4,221.6,275.6,,,270,10.8%,University of Pittsburgh
Aaron Harrison,10/28/94,2016,2017,G,6,6,198.1,203.8,255.3,8.75,10,210,6.0%,University of Kentucky
Aaron James,10/5/52,1975,1979,F,6,8,203.2,,,,,210,,Grambling State University
Aaron McKie,10/2/72,1995,2007,G,6,5,195.6,,,,,209,,Temple University
Aaron Miles,4/13/83,2006,2006,G,6,1,185.4,191.8,238.8,,,175,,University of Kansas
Aaron Swinson,1/9/71,1995,1995,F,6,5,195.6,,,,,230,,Auburn University
Aaron Williams,10/2/71,1994,2008,F-C,6,9,205.7,,,,,220,,Xavier University
Abdel Nader,9/25/93,2018,2018,F,6,6,198.1,,,,,230,,Iowa State University
Abdul Jeelani,2/10/54,1980,1981,F-C,6,8,203.2,,,,,210,,University of Wisconsin-Parkside
Acie Earl,6/23/70,1994,1997,F-C,6,10,208.3,,,,,240,,University of Iowa
Acie Law,1/25/85,2008,2011,G,6,3,190.5,199.4,248.9,,,195,5.6%,Texas A&M University
Adam Harrington,7/5/80,2003,2003,G,6,5,195.6,,,,,200,,Auburn University
Adam Keefe,2/22/70,1993,2001,F,6,9,205.7,,,,,230,,Stanford University
Adam Morrison,7/19/84,2007,2010,F,6,8,203.2,208.3,266.7,,,205,6.8%,Gonzaga University
Adonal Foyle,3/9/75,1998,2009,C,6,10,208.3,,,,,250,,Colgate University
Adonis Jordan,8/21/70,1994,1999,G,5,11,180.3,,,,,170,,University of Kansas
Adonis Thomas,3/25/93,2014,2014,F,6,7,200.7,215.9,251.5,9.25,9.5,200,7.5%,University of Memphis
